stopdate,stoptime,streetnbr,streetdir,street,Min,sex,race,ethnic,Year of birth,enfaction,rpmainid
 01/01/2018,1619,4561,,ARAPAHOE AVE/MACARTHUR DR,5,M,W,N,1976,Y,2862
 01/01/2018,1630,6600,,ARAPAHOE AVE,10,M,W,N,2000,N,2863
 12/31/2017,214,1799,,BROADWAY/CANYON BLVD,35,M,W,N,1991,N,2864
 12/31/2017,214,1799,,BROADWAY/CANYON BLVD,35,M,W,N,1992,N,2865
 12/31/2017,214,1799,,BROADWAY/CANYON BLVD,350,M,W,N,1958,N,2866
 12/31/2017,2213,1900,,IRIS AVE,10,F,W,N,2000,N,2867
 01/02/2018,736,4871,,BROADWAY,18,M,W,N,1975,Y,2868
 01/02/2018,756,4871,,BROADWAY,18,M,W,N,1990,N,2869
 01/02/2018,1207,1650,,30TH ST,10,F,W,N,1976,N,2870
 01/02/2018,1530,,,FOOTHILLS PKWY,10,,,,1961,Y,2871
 01/02/2018,2149,2900,,30TH ST,10,F,W,,1999,Y,2872
 01/02/2018,2038,3599,,47TH ST/DIAGONAL HWY,10,F,W,N,1971,Y,2873
 01/02/2018,2151,4800,,BASELINE RD,15,M,W,N,1938,Y,2875
 01/03/2018,102,1301,,BROADWAY,10,F,W,N,1998,Y,2876
 01/03/2018,126,799,,15TH ST/CASCADE AVE,5,M,B,N,1972,N,2877
 01/03/2018,154,1199,,SPRUCE ST/BROADWAY,8,M,W,N,1988,Y,2878
 01/03/2018,830,,,US HIGHWAY 36 ON RAMP/TABLE MESA DR,10,M,W,N,1990,N,2879
 01/03/2018,2030,1800,,28TH ST,5,M,W,H,1964,N,2880
 01/02/2018,2000,,,30TH ST/PEARL PKWY,5,M,W,N,1989,Y,2881
 01/03/2018,1934,1849,,11TH ST/CANYON | WALNUT ALLEY,5,M,W,N,1952,N,2882
 01/03/2018,1940,1799,,15TH ST/CANYON BLVD,25,M,W,H,1993,N,2883
 01/03/2018,2213,4599,,14TH ST/YARMOUTH AVE,10,M,W,H,2000,Y,2884
 01/03/2018,2226,1200,,IRIS AVE/BROADWAY,10,M,W,N,1994,N,2885
 01/03/2018,2149,3210,,ARAPAHOE AVE,20,M,W,N,1969,N,2886
 01/04/2018,39,,,30TH ST/ARAPAHOE AVE,10,M,W,N,1991,N,2887
 01/04/2018,150,,,63RD ST/ARAPAHOE AVE,5,M,W,N,1989,N,2888
 01/04/2018,30,,,FOOTHILLS PKWY/SOUTH BOULDER RD,5,M,W,N,1985,N,2889
 01/03/2018,1805,1799,,BROADWAY/CANYON BLVD,5,F,W,N,1956,Y,2890
 01/03/2018,2345,1500,,PEARL ST,15,M,W,N,1992,N,2891
 01/03/2018,2345,1500,,PEARL ST,15,M,W,N,1982,N,2892
 01/03/2018,2345,1500,,PEARL ST,15,M,W,N,1969,N,2893
 12/22/2017,2135,1999,,BROADWAY/PEARL ST,8,M,W,N,2000,Y,2894
 01/03/2018,2304,799,,9TH ST/CASCADE AVE,8,M,W,N,1985,N,2895
 01/04/2018,110,1500,,WALNUT ST,5,M,W,N,1986,N,2896
 01/04/2018,445,1350,,COLLEGE AVE,5,M,B,N,1989,N,2897
 01/04/2018,26,2885,,E AURORA AVE,6,F,W,N,1997,Y,2898
 01/04/2018,318,3500,,ARAPAHOE AVE,9,M,W,N,1968,Y,2899
 01/04/2018,744,1499,,17TH ST/ARAPAHOE AVE,5,M,W,N,1985,Y,2900
 01/04/2018,835,,,BASELINE RD/FOOTHILLS PKWY,9,F,W,N,1952,Y,2901
 01/04/2018,1010,2999,,CENTER GREEN CT/VALMONT RD,10,F,W,N,1986,N,2902
 01/04/2018,1131,,,FOOTHILLS PKWY/VALMONT RD,10,M,B,N,1996,Y,2903
 01/04/2018,1055,2999,,CENTER GREEN CT/VALMONT RD,10,F,W,N,1981,N,2904
 01/04/2018,1055,899,,20TH ST/BROADWAY,10,M,W,N,1975,Y,2905
 01/04/2018,1107,,,FOOTHILLS PKWY/VALMONT RD,10,M,W,N,1999,Y,2906
 01/04/2018,1210,1398,,FOOTHILLS PKWY/COLORADO AVE,4,F,W,N,1947,N,2907
 01/04/2018,1039,2598,,BASELINE RD/27TH WAY,10,M,W,N,1981,N,2908
 01/04/2018,1010,,,APRAHOE/PATTEN DR,10,F,W,N,1993,N,2909
 01/04/2018,900,1899,,30TH ST/WALNUT ST,10,M,W,N,1966,N,2910
 01/04/2018,1038,200 BLK,,FOOTHILLS PKY,15,M,W,N,1993,N,2911
 01/04/2018,1105,200 BLK,,FOOTHILLS PKY,15,M,W,N,1959,N,2912
 01/05/2018,15,1800,,28TH ST,15,F,W,N,1983,N,2914
 01/05/2018,45,2029,,BROADWAY/PEARL | SPRUCE ALLEY,15,M,W,N,1997,Y,2916
 01/04/2018,2100,,,HARVARD LN/TABLE MESA DR,10,M,W,N,1967,Y,2917
 12/09/2017,2330,3549,,28TH ST/KALMIA CT,5,M,W,N,0,Y,2918
 12/31/2017,2335,1499,,BROADWAY/GRANDVIEW AVE,5,M,A,N,1980,N,2919
 01/05/2018,803,2699,,BROADWAY/ALPINE AVE,5,F,B,N,1972,Y,2920
 01/05/2018,920,3300,,VALMONT RD,10,F,W,N,1992,N,2921
 01/04/2018,805,2800,,ARAPAHOE AVE,5,F,W,N,1949,N,2922
 01/05/2018,755,,,CANYON BLVD/30TH ST,5,F,W,N,1996,Y,2923
 01/05/2018,945,,,FOOTHILLS PKWY/VALMONT RD,10,F,W,N,1987,N,2924
 01/04/2018,1440,6023,,ARAPAHOE AVE/CHERRYVALE RD,10,F,W,N,1946,N,2925
 01/04/2018,1450,,,6400 ARAPAHOE AVE,10,F,W,N,1950,N,2926
 01/05/2018,1213,698,,FOOTHILLS PKWY/BASELINE RD,10,M,W,H,1980,N,2927
 01/05/2018,1238,698,,FOOTHILLS PKWY/BASELINE RD,10,M,W,N,1965,Y,2928
 01/05/2018,1250,698,,FOOTHILLS PKWY/BASELINE RD,10,F,W,N,1993,Y,2929
 01/05/2018,1301,699,,MANHATTAN DR/BASELINE RD,10,M,W,N,1988,N,2930
 01/05/2018,1823,1899,,30TH ST/WALNUT ST,5,F,W,N,1987,Y,2931
 01/05/2018,2210,2400,,NORWOOD AVE,10,M,W,N,2001,Y,2932
 01/05/2018,2210,2400,,NORWOOD AVE,10,F,W,N,2001,Y,2933
 01/05/2018,2200,2800,,WALNUT ST,10,M,W,N,1981,N,2934
 01/06/2018,55,4499,,TABLE MESA DR/S 45TH ST,5,M,W,H,1979,Y,2935
 01/06/2018,135,,,28TH ST ON RAMP/BASELINE RD,5,F,W,N,1966,N,2936
 01/06/2018,150,,,35TH ST/BASELINE RD,5,M,W,N,1998,Y,2937
 01/06/2018,927,1301,,30TH ST,14,M,W,N,1943,Y,2938
 01/06/2018,905,,,FOOTHILLS PKWY/VALMONT RD,10,M,W,N,1953,N,2939
 01/06/2018,1022,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,F,W,N,1992,Y,2940
 01/06/2018,1049,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,,,,0,,2941
 01/06/2018,1147,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,,,,0,,2942
 01/06/2018,1108,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,M,W,N,1980,Y,2943
 01/01/2018,1517,699,,30TH ST/BASELINE RD,5,M,W,N,1983,N,2944
 01/02/2018,642,1598,,30TH ST/ARAPAHOE AVE,10,M,W,N,1969,N,2945
 01/05/2018,15,1800,,28TH ST,15,M,W,H,1985,N,2946
 01/06/2018,2000,1699,,9TH ST/ARAPAHOE AVE,15,M,W,N,1991,Y,2947
 01/06/2018,2246,3400,,28TH ST,10,M,W,,1971,N,2948
 01/06/2018,2250,,,MOORHEAD AVE/TABLE MESA DR,5,M,W,N,1992,N,2949
 01/06/2018,2350,1500,,30TH ST,10,M,W,N,1995,N,2950
 01/07/2018,100,1400,,ARAPAHOE AVE,10,M,W,N,1994,N,2951
 01/05/2018,2000,1598,,28TH ST/ARAPAHOE AVE,15,M,W,N,1981,N,2952
 01/05/2018,2200,2999,,28TH ST/VALMONT RD,15,M,W,H,1986,N,2953
 01/06/2018,2,,,FOOTHILLS PKWY/SOUTH BOULDER RD,30,M,W,,1986,N,2954
 01/07/2018,2,,,FOOTHILLS PKWY/SOUTH BOULDER RD,30,F,W,,1991,N,2955
 12/30/2017,311,2711,,MAPLETON AVE,10,M,W,N,1984,Y,2956
 01/05/2018,35,2798,,ARAPAHOE AVE,5,M,B,N,1976,N,2957
 01/05/2018,43,2760,,CANYON BLVD,25,F,W,N,1981,N,2958
 01/05/2018,43,2760,,CANYON BLVD,25,M,B,N,1976,N,2959
 01/06/2018,2317,2992,,23RD ST,40,M,W,H,1987,N,2960
 01/06/2018,2359,2512,,MAPLETON AVE,7,M,W,N,1991,N,2961
 01/07/2018,642,2115,,13TH ST,10,M,B,N,1993,N,2962
 01/07/2018,630,2115,,13TH ST,10,M,W,N,1984,N,2963
 01/07/2018,600,900,,WALNUT ST,10,M,W,N,1980,N,2964
 01/06/2018,1049,,,PENNSYLVANIA AVE/28TH ST,10,M,A,N,1987,N,2965
 01/07/2018,1450,4748,,TABLE MESA DR/MOORHEAD AVE,10,M,W,N,1987,N,2966
 01/07/2018,1107,,,30TH ST/PEARL PKWY,10,M,W,H,1991,Y,2967
 01/07/2018,1137,4399,,28TH ST/VIOLET AVE,10,F,W,N,1971,N,2968
 01/07/2018,1206,4599,,28TH ST/YARMOUTH AVE,10,F,W,N,1962,Y,2969
 01/07/2018,1239,3120,,CORONA TRL,10,M,W,N,1968,Y,2970
 01/07/2018,1630,399,,S BROADWAY/DARTMOUTH AVE,10,F,W,N,1958,Y,2971
 01/08/2018,200,1600,,PEARL ST,7,M,W,N,1986,N,2972
 01/08/2018,230,,,29TH ST/BASELINE RD,10,M,W,N,1989,N,2973
 01/08/2018,530,999,,17TH ST/BROADWAY,5,M,W,N,1971,Y,2974
 01/04/2018,1434,3399,,30TH ST/IRIS AVE,10,M,W,N,1982,N,2975
 01/08/2018,800,1236,,CANYON BLVD,10,M,W,N,1982,N,2976
 01/01/2018,1643,2850,,MAPLETON AVE,25,M,W,N,1954,N,2977
 01/02/2018,1545,3199,,28TH ST/GLENWOOD DR,13,M,B,N,1988,Y,2978
 01/08/2018,1530,1500,,LEE HILL DR,6,M,W,N,1970,N,2979
 01/08/2018,1545,1500,,LEE HILL DR,6,F,W,N,1958,N,2980
 01/08/2018,1505,,,YARMOUTH AVE/28TH ST,60,M,W,N,1950,N,2981
 01/07/2018,2318,1777,,6TH STREET,0,F,W,N,1968,N,2982
 01/07/2018,2336,6180,,63RD ST,10,M,W,N,1972,N,2983
 01/08/2018,2324,1999,,7TH ST/PEARL ST,5,M,W,N,1994,N,2984
 01/08/2018,2332,1899,,9TH ST/WALNUT ST,5,M,W,N,1992,N,2985
 01/09/2018,240,1100,,BALSAM AVE,5,M,W,H,1972,Y,2986
