appkey,appid,itemcode,itemdesc,addtime
RPT1,1,VEH,VEHICLE,9/26/2018 15:09
RPT1,2862,VEH,VEHICLE,1/1/2018 16:26
RPT2,2862,SPEE,TRAFFIC-SPEEDING,1/1/2018 16:26
RPT3,2862,*NO,*NO SEARCH,1/1/2018 16:26
RPT6,2862,WAR,WARNING,1/1/2018 16:26
RPT7,2862,NO,NOT CHARGED,1/1/2018 16:26
RPT1,2863,VEH,VEHICLE,1/1/2018 16:48
RPT2,2863,RECK,TRAFFIC-RECKLESS/CARELESS,1/1/2018 16:48
RPT3,2863,*NO,*NO SEARCH,1/1/2018 16:48
RPT6,2863,CIT,CITATION,1/1/2018 16:48
RPT7,2863,TRAF,TRAFFIC,1/1/2018 16:48
RPT1,2864,PED,PEDESTRIAN,1/1/2018 22:16
RPT2,2864,MUNI,MUNICIPAL VIOLATION,1/1/2018 22:16
RPT3,2864,*NO,*NO SEARCH,1/1/2018 22:16
RPT5,2864,NOT,NOTHING SEIZED,1/1/2018 22:17
RPT6,2864,WAR,WARNING,1/1/2018 22:17
RPT7,2864,NO,NOT CHARGED,1/1/2018 22:17
RPT1,2865,PED,PEDESTRIAN,1/1/2018 22:19
RPT2,2865,MUNI,MUNICIPAL VIOLATION,1/1/2018 22:19
RPT3,2865,*NO,*NO SEARCH,1/1/2018 22:19
RPT5,2865,NOT,NOTHING SEIZED,1/1/2018 22:19
RPT6,2865,WAR,WARNING,1/1/2018 22:19
RPT7,2865,NO,NOT CHARGED,1/1/2018 22:19
RPT1,2866,PED,PEDESTRIAN,1/1/2018 22:19
RPT2,2866,MUNI,MUNICIPAL VIOLATION,1/1/2018 22:20
RPT3,2866,*NO,*NO SEARCH,1/1/2018 22:20
RPT5,2866,NOT,NOTHING SEIZED,1/1/2018 22:20
RPT6,2866,WAR,WARNING,1/1/2018 22:20
RPT7,2866,NO,NOT CHARGED,1/1/2018 22:20
RPT1,2867,VEH,VEHICLE,1/1/2018 23:29
RPT2,2867,MUNI,MUNICIPAL VIOLATION,1/1/2018 23:29
RPT3,2867,*NO,*NO SEARCH,1/1/2018 23:29
RPT6,2867,WAR,WARNING,1/1/2018 23:30
RPT7,2868,MUNI,MUNICIPAL,1/2/2018 10:20
RPT1,2869,PED,PEDESTRIAN,1/2/2018 10:34
RPT2,2869,MUNI,MUNICIPAL VIOLATION,1/2/2018 10:34
RPT3,2869,*NO,*NO SEARCH,1/2/2018 10:35
RPT6,2869,ARR,ARREST,1/2/2018 10:35
RPT7,2869,WARR,WARRANT,1/2/2018 10:35
RPT7,2869,MUNI,MUNICIPAL,1/2/2018 10:35
RPT1,2870,VEH,VEHICLE,1/2/2018 12:33
RPT2,2870,EQUI,EQUIPMENT VIOLATION,1/2/2018 12:33
RPT3,2870,*NO,*NO SEARCH,1/2/2018 12:33
RPT6,2870,CIT,CITATION,1/2/2018 12:33
RPT7,2870,TRAF,TRAFFIC,1/2/2018 12:34
RPT1,2871,VEH,VEHICLE,1/2/2018 15:52
RPT2,2871,RECK,TRAFFIC-RECKLESS/CARELESS,1/2/2018 15:52
RPT3,2871,*NO,*NO SEARCH,1/2/2018 15:52
RPT6,2871,WAR,WARNING,1/2/2018 15:53
RPT1,2872,VEH,VEHICLE,1/2/2018 22:14
RPT2,2872,EQUI,EQUIPMENT VIOLATION,1/2/2018 22:14
RPT3,2872,*NO,*NO SEARCH,1/2/2018 22:15
RPT6,2872,WAR,WARNING,1/2/2018 22:15
RPT5,2872,NOT,NOTHING SEIZED,1/2/2018 22:15
RPT1,2873,VEH,VEHICLE,1/2/2018 22:46
RPT2,2873,SPEE,TRAFFIC-SPEEDING,1/2/2018 22:46
RPT3,2873,*NO,*NO SEARCH,1/2/2018 22:46
RPT5,2873,NOT,NOTHING SEIZED,1/2/2018 22:46
RPT6,2873,CIT,CITATION,1/2/2018 22:46
RPT7,2873,TRAF,TRAFFIC,1/2/2018 22:46
RPT1,2875,VEH,VEHICLE,1/2/2018 23:03
RPT2,2875,ROW,TRAFFIC-RIGHT OF WAY VIOLATION,1/2/2018 23:03
RPT3,2875,*NO,*NO SEARCH,1/2/2018 23:04
RPT6,2875,WAR,WARNING,1/2/2018 23:04
RPT1,2876,VEH,VEHICLE,1/3/2018 2:20
RPT2,2876,SUSP,SUSPICIOUS,1/3/2018 2:21
RPT2,2876,MUNI,MUNICIPAL VIOLATION,1/3/2018 2:21
RPT3,2876,*NO,*NO SEARCH,1/3/2018 2:21
RPT5,2876,NOT,NOTHING SEIZED,1/3/2018 2:21
RPT6,2876,WAR,WARNING,1/3/2018 2:21
RPT7,2876,NO,NOT CHARGED,1/3/2018 2:21
RPT1,2877,VEH,VEHICLE,1/3/2018 2:22
RPT2,2877,ROW,TRAFFIC-RIGHT OF WAY VIOLATION,1/3/2018 2:22
RPT3,2877,*NO,*NO SEARCH,1/3/2018 2:22
RPT5,2877,NOT,NOTHING SEIZED,1/3/2018 2:22
RPT6,2877,WAR,WARNING,1/3/2018 2:22
RPT7,2877,NO,NOT CHARGED,1/3/2018 2:22
RPT1,2878,PED,PEDESTRIAN,1/3/2018 2:24
RPT2,2878,WELF,WELFARE CHECK,1/3/2018 2:25
RPT3,2878,*NO,*NO SEARCH,1/3/2018 2:25
RPT5,2878,NOT,NOTHING SEIZED,1/3/2018 2:25
RPT6,2878,NO,NO ACTION,1/3/2018 2:25
RPT7,2878,NO,NOT CHARGED,1/3/2018 2:25
RPT1,2879,VEH,VEHICLE,1/3/2018 14:12
RPT2,2879,SPEE,TRAFFIC-SPEEDING,1/3/2018 14:12
RPT3,2879,*NO,*NO SEARCH,1/3/2018 14:12
RPT6,2879,CIT,CITATION,1/3/2018 14:12
RPT1,2880,PED,PEDESTRIAN,1/3/2018 20:45
RPT2,2880,MUNI,MUNICIPAL VIOLATION,1/3/2018 20:45
RPT3,2880,*NO,*NO SEARCH,1/3/2018 20:45
RPT6,2880,WAR,WARNING,1/3/2018 20:46
RPT1,2881,VEH,VEHICLE,1/3/2018 21:05
RPT2,2881,MUNI,MUNICIPAL VIOLATION,1/3/2018 21:05
RPT3,2881,*NO,*NO SEARCH,1/3/2018 21:05
RPT5,2881,NOT,NOTHING SEIZED,1/3/2018 21:06
RPT6,2881,WAR,WARNING,1/3/2018 21:06
RPT7,2881,NO,NOT CHARGED,1/3/2018 21:06
RPT1,2882,VEH,VEHICLE,1/3/2018 21:07
RPT2,2882,MUNI,MUNICIPAL VIOLATION,1/3/2018 21:07
RPT3,2882,*NO,*NO SEARCH,1/3/2018 21:07
RPT5,2882,NOT,NOTHING SEIZED,1/3/2018 21:07
RPT6,2882,WAR,WARNING,1/3/2018 21:07
RPT7,2882,NO,NOT CHARGED,1/3/2018 21:08
RPT2,2883,MUNI,MUNICIPAL VIOLATION,1/3/2018 21:09
RPT3,2883,*NO,*NO SEARCH,1/3/2018 21:09
RPT5,2883,OTH,OTHER EVIDENCE,1/3/2018 21:09
RPT6,2883,CIT,CITATION,1/3/2018 21:09
RPT7,2883,TRAF,TRAFFIC,1/3/2018 21:09
RPT1,2884,VEH,VEHICLE,1/3/2018 22:27
